Unnamed: 0,CompanyName,RevenueRangeUSDm,NumberOfEmployees,TotalFundRaisedUSDm,NumberOfFundingRounds,CurrentValuationUSDm,RoundType,FundingStatus,NumberOfInvestors,GlobalTrafficRank,Source,City,Country,Area,AlsoKnownAs,EoYArea,InvestorsOrganization,InvestorsPerson,State,UID,ZipCode,permalink
7257,Fundvisory,,11 - 50,2.434509,2,2.09952,venture_a,Early Stage Venture,2.0,,crunchbase,Buchelay,France,WEM,,,Macif;Aviva France,,Ile-de-France,90fc50029d988037c27ac1396b730d02,78200,fundvisory
7258,Nanit,,11 - 50,28.6,3,14.0,venture_b,Early Stage Venture,5.0,327072.0,crunchbase,New York,United States,,,,RRE Ventures;Upfront Ventures;Vaal Investment Partners;Jerusalem Venture Partners (JVP);Vulcan Capital,,New York,6e4e5ca3a86cad77caae4081dfad00c4,,nanit
7259,Yewno,,11 - 50,30.5,4,109.0,venture_b,Early Stage Venture,2.0,3286369.0,crunchbase,Redwood City,United States,US-West,,Northern California,Alpha Intelligence Capital;Pacific Capital Group,,California,deb4be309230231cd9690c55e58c2d85,94063,yewno
7260,Anatwine,,101 - 250,12.0,2,12.0,venture_unknown,Late Stage Venture,1.0,12810964.0,crunchbase,Cheltenham,United Kingdom,UK&I,,,Zalando,,Gloucestershire,79cf77ec252b7f6c36d32881f0b375e4,,anatwine
7261,Mentr,,1 - 10,0.0,2,0.0,venture_unknown,Late Stage Venture,1.0,8685526.0,crunchbase,San Francisco,United States,,,,Founder Friendly Labs,,California,126e9a5a8dd9b761bfa55f476d1be818,,mentr
7262,One Solstice,,,0.69,2,0.24,venture_unknown,Late Stage Venture,,,crunchbase,Madison,United States,US-Central,,Midwest,,,Wisconsin,cbb63936684fab3e18c7e85709e73f31,53703,one-solstice
7263,EL-Seed,,,0.55,2,0.55,venture_unknown,Late Stage Venture,,,crunchbase,Nagoya,Japan,Japan,,,,,Aichi,3992776a551c0577910fe2be56307c26,468-0073,el-seed
7264,Cardsmobile,,101 - 250,2.5,2,8.7,venture_unknown,Late Stage Venture,1.0,141570.0,crunchbase,Saint Petersburg,Russian Federation,CESA,,,LANIT,,Saint Petersburg City,1adc965f00b07398989fb940be041893,197136,cardsmobile
7265,DyeCoo Textile Systems,,11 - 50,6.534232,2,6.534232,venture_unknown,Late Stage Venture,,4021438.0,crunchbase,Weesp,Netherlands,WEM,,,,,Noord-Holland,d557db7b8cc32cb06630f5d808809cbb,1382 JZ,dyecoo-textile-systems
7266,BoFood,,1 - 10,0.0,1,0.0,venture_unknown,Late Stage Venture,1.0,20228383.0,crunchbase,Karlshamn,Sweden,Nordics,,,IKEA GreenTech AB,,Blekinge Lan,7d5d78d865e0c7081cdae490233e783e,37431,bofood
