Unnamed: 0,CompanyName,RevenueRangeUSDm,NumberOfEmployees,TotalFundRaisedUSDm,NumberOfFundingRounds,CurrentValuationUSDm,RoundType,FundingStatus,NumberOfInvestors,GlobalTrafficRank,Source,City,Country,Area,AlsoKnownAs,EoYArea,InvestorsOrganization,InvestorsPerson,State,UID,ZipCode,permalink
27901,Artemest,,11 - 50,6.2,2,5.0,venture_a,Early Stage Venture,6.0,367024.0,crunchbase,Milan,Italy,Mediterranean,,,The Cheng family;Rancilio Cube;ScaleIT Ventures;Bagheera Holding;Italian Angels for Growth;NUO Capital,,Lombardia,1b67f2e958bb282094c758a10426c99b,20144,artemest
27902,Simplex,,51 - 100,9.0,4,7.0,venture_a,Early Stage Venture,5.0,417993.0,crunchbase,Ramat Gan,Israel,Israel,['SimplexCC'],,DRW Venture Capital;FundersClub;Bitmain;iAngels,"Lemelbaum, Yaron",Tel Aviv,85536087c3d120b0f25075807df0d89d,52521,simplex-3
27903,Aqueti,,11 - 50,6.3,1,6.3,venture_a,Early Stage Venture,3.0,7115838.0,crunchbase,Durham,United States,US-Central,,"Southeast (Alabama, Carolinas, Georgia, Tennessee)",CAS Star;AMAE;Chuanghehui Fund,,North Carolina,e03fdfba0d0d0fdf9776e2e85d8b66fd,27707,aqueti
27904,Venminder,,101 - 250,16.3,4,5.0,venture_b,Early Stage Venture,2.0,1125691.0,crunchbase,Elizabethtown,United States,,,,Bain Capital Ventures;MissionOG,,Kentucky,c0e0ee8cc2a9106a81eccba54b768c4e,KY 42701,venminder
27905,kWh Analytics,,11 - 50,6.25,6,0.0,venture_b,Early Stage Venture,1.0,1294756.0,crunchbase,San Francisco,United States,US-West,,Northern California,Anthemis Group,,California,43b615da718eecaffa43f58677b03589,94111,kwh-analytics
27906,Quan Inc.,,51 - 100,4.049494,6,3.6,venture_unknown,Late Stage Venture,5.0,1561618.0,crunchbase,Tokyo,Japan,Japan,,,OLM Ventures Inc.;ABC Dream Ventures;SMBC Venture Capital;Mizuho Capital;Nissay Capital,,Tokyo,94673282cd65e40154042b0a1bda3689,151-0051,quan-inc-
27907,BuddyGuard,,1 - 10,5.001968,3,4.001968,venture_unknown,Late Stage Venture,1.0,26818344.0,crunchbase,Berlin,Germany,GSA,,,BACHMANN,,Berlin,e41326782c796c9293c4e86af8e288bd,13355,buddyguard
27908,READYFOR,,1 - 10,8.506592999999999,2,3.788064,venture_a,Early Stage Venture,2.0,99582.0,crunchbase,Tokyo,Japan,Japan,,,Salesforce Ventures;Mizuho Bank,,Tokyo,398c08460db24912b2ffb7e1ae335b83,113-0033,readyfor
27909,Pear Therapeutics,,101 - 250,134.0,4,64.0,venture_c,Late Stage Venture,9.0,1953433.0,crunchbase,Boston,United States,US-East,,New England,Trustbridge Partners;Bridge Builders Collaborative;5AM Ventures;Blue Water Life Science Fund;Novartis;Jazz Venture Partners;Arboretum Ventures;EDBI;Temasek Holdings,,Massachusetts,d80ac1599f2763bad8b420f31f9917c7,02111,pear-therapeutics
27910,Menew,,,0.05,5,0.0,venture_unknown,Late Stage Venture,1.0,,crunchbase,Okayama,Japan,Japan,,,Tepco i-Frontiers,,Okayama,32a465f88ecb566c140f9c95f78c5db6,700 - 8530,menew
27911,Coolpad,,10001 - 1000000,788.3541650000003,3,300.0,venture_unknown,Late Stage Venture,1.0,230076.0,crunchbase,Shenzhen,China,Greater China,['宇龙计算机通信科技（深圳）有限公司'],,Power Sun Ventures,,Guangdong,703cebf276c13f81ae72f7bf3f3e342b,,coolpad
27912,Razorpay,,251 - 500,124.7,6,18.0,venture_unknown,Late Stage Venture,,11117.0,crunchbase,Bangalore,India,India,,,,,Karnataka,a50d0e57faa8dcda01db30354a88daf0,560030,razorpay
27913,Lulalend,,11 - 50,6.5,2,6.5,venture_a,Early Stage Venture,2.0,612738.0,crunchbase,Cape Town,South Africa,Africa,,,International Finance Corporation;Quona Capital,,NA - South Africa,81baee8312964eeb827517626382a066,WC 8000,lulalend
27914,Bristlecone Holdings,,11 - 50,0.0,3,0.0,venture_a,Early Stage Venture,1.0,22042607.0,crunchbase,Reno,United States,US-West,,Northern California,SenaHill Partners,,Nevada,719bcc516452b9bb858a7c8c71919480,89521,bristlecone-holdings
27915,QAMPO,,1 - 10,0.0,1,0.0,venture_unknown,Late Stage Venture,1.0,,crunchbase,Aarhus,Denmark,Nordics,,,,"Kamil, Moonis",Midtjylland,9b4ffd7009fea03a15c9ee5a4bff63fe,8250,qampo
27916,Golix,,1 - 10,0.03,3,0.0,venture_unknown,Late Stage Venture,1.0,13577225.0,crunchbase,Harare,Zimbabwe,Africa,,,,"Chinyamakobvu, Taurai",NA - Zimbabwe,c2e362c4f8479bedb3bee6df0c7fe8ab,00263,bitfiance
27917,Mahindra First Choice,,501 - 1000,30.0,2,265.0,venture_unknown,Late Stage Venture,,134434.0,crunchbase,Mumbai,India,India,,,,,Maharashtra,cfd34569f7534c3a57995673a886c548,400062,mahindra-first-choice
27918,PlexusMD,,11 - 50,0.0,1,0.0,venture_unknown,Late Stage Venture,2.0,373617.0,crunchbase,Ahmedabad,India,India,,,,"Patni, Arihant;Mehra, Avnish",Gujarat,d14392e5704ced86c943dd36f868b979,,plexusmd
27919,Excite Japan,,51 - 100,7.828506,3,0.714328,venture_unknown,Late Stage Venture,1.0,1194.0,crunchbase,Minato,Japan,Japan,,,D4V - Design for Ventures,,Chiba,ea29caace6b0e07e4dd59259ecfc7e13,,excite-japan-co---ltd-
27920,Viroad Biotechnology,,,19.420773,3,14.6,venture_b,Early Stage Venture,1.0,,crunchbase,Shijiazhuang,China,Greater China,"['德路通生物', 'Delutong Shengwu']",,Harvest Global Investments,,Hebei,15a04f495216e9870939bf3f84a0d7d6,,hebei-viroad
27921,Eventus Systems,,11 - 50,15.37115,3,10.5,venture_a,Early Stage Venture,4.0,5349247.0,crunchbase,Austin,United States,US-West,,Central Texas,Chimera Securities;LiveOak Venture Partners;Coinbase Ventures;Jump Capital,,Texas,a906f5c7412605dd0cf214864e85c741,78758,eventus-systems
27922,True Made Foods,,1 - 10,1.743,6,0.0,venture_a,Early Stage Venture,2.0,7598287.0,crunchbase,Alexandria,United States,US-East,,Mid-Atlantic,SOSV;FOOD-X,,Virginia,abca45750d3de4a51fb8cdbac901a1f4,22314,truefoods
27923,SimpleNexus,,101 - 250,20.0,1,20.0,venture_unknown,Late Stage Venture,1.0,380389.0,crunchbase,Lehi,United States,US-West,,"Utah Region (Utah, Idaho and Wyoming)",Insight Partners,,Utah,1f2e0892f26b6c0752af1a9f672742c0,84020,simplenexus
27924,TalentGuard,,51 - 100,4.8,3,4.0,venture_b,Early Stage Venture,3.0,1787388.0,crunchbase,West Lake Hills,United States,US-West,,Central Texas,LiveOak Venture Partners,"Favaron, Rod;Schneider, Jim",Texas,c24beb2188384dbc135d7653eff835b0,78746,best-of-biotech
27925,ITaxi,,51 - 100,5.036989,3,2.936989,venture_a,Early Stage Venture,2.0,814720.0,crunchbase,Wysokie Mazowieckie,Poland,CESA,,,Dirlango;Experior Venture Fund,,Podlaskie,69db9bb25a97d738a8480bc8a3be3f13,02-727,itaxi
27926,MBO Partners,,101 - 250,0.0,1,0.0,venture_unknown,Late Stage Venture,1.0,449690.0,crunchbase,Herndon,United States,US-East,,Mid-Atlantic,Primus Capital,,Virginia,59c54067e39e0e43339b9dbf4f0aa6f3,20171,mbo-partners-2
27927,Voatz,,11 - 50,9.27,6,7.0,venture_a,Early Stage Venture,4.0,4839268.0,crunchbase,Boston,United States,,,,Urban Innovation Fund;Medici Ventures;Oakhouse Partners;Techstars,,Massachusetts,34c4e8f5d1925ed8f6f81d314ee77bfd,,voatz
