Unnamed: 0,CompanyName,RevenueRangeUSDm,NumberOfEmployees,TotalFundRaisedUSDm,NumberOfFundingRounds,CurrentValuationUSDm,RoundType,FundingStatus,NumberOfInvestors,GlobalTrafficRank,Source,City,Country,Area,AlsoKnownAs,EoYArea,InvestorsOrganization,InvestorsPerson,State,UID,ZipCode,permalink
25814,Click&Boat,,51 - 100,6.5890070000000005,4,4.699397,venture_b,Early Stage Venture,1.0,129322.0,crunchbase,Boulogne-billancourt,France,WEM,,,OLMA Private Equity Fund,,Ile-de-France,e105bcb865a5974873f107ba56895347,,click-boat
25815,DriveWealth,,11 - 50,29.4,3,21.0,venture_b,Early Stage Venture,4.0,280037.0,crunchbase,Chatham,United States,US-East,,New Jersey,Route 66 Ventures;Point72 Ventures;Raptor Group;SBI Group,,New Jersey,7c68fc090937c346feb410e9ef7b8b3c,07928,drivewealth
25816,SereneBook,,1 - 10,0.0,3,0.0,venture_unknown,Late Stage Venture,,,crunchbase,New York,United States,,"['SereneSocial', 'SereneBook', 'SereneHouse', 'SERENE']",,,,New York,4a4c69e0c8fb3801a708551b6848ff0a,,serene-social
25817,LocateAI,,1 - 10,4.170272,3,4.170272,venture_unknown,Late Stage Venture,10.0,21073803.0,crunchbase,San Francisco,United States,,['StreamLineCall'],,Plug and Play;MetaProp NYC;Splash Capital;Red Dog Capital;Half Court VC;Slow Ventures;Pear Ventures;Right Side Capital Management;8VC;Techstars Ventures,,California,d22b15eee4549062f8c0f77f2d0f8526,,locateai
25818,OrthoFi,,11 - 50,3.7,6,0.0,venture_unknown,Late Stage Venture,1.0,112208.0,crunchbase,Denver,United States,US-West,,Mountain Desert,Boathouse Capital,,Colorado,20893303acc7a8f48bc8dcabad3d61c7,80203,orthofi
25819,GoMetro,,11 - 50,0.0,2,0.0,venture_unknown,Late Stage Venture,1.0,7163016.0,crunchbase,Cape Town,South Africa,Africa,,,Tritech Media,,NA - South Africa,ed0e884ea57ab1f1ee17b2c51ed1b7b1,7530,gometro
25820,Industrious,,251 - 500,222.0,4,80.0,venture_d,Late Stage Venture,8.0,535416.0,crunchbase,New York,United States,US-East,,New York,"Brookfield Properties Retail;Equinox Fitness;Wells Fargo Strategic Capital, Inc.;Riverwood Capital;Canada Pension Plan Investment Board;Granite Properties;Fifth Wall;TF Cornerstone",,New York,05e1e90fdc69da1c1ef71158bf65e800,10003,industrious-office
25821,Isagenix International,,501 - 1000,2.4,2,2.3,venture_unknown,Late Stage Venture,,55520.0,crunchbase,Gilbert,United States,US-West,,Mountain Desert,,,Arizona,3ff4de9caa82bccf30bd249f07149296,85297,isagenix-international
25822,Better Bathrooms,,251 - 500,20.131402,2,5.197046,venture_unknown,Late Stage Venture,1.0,173610.0,crunchbase,Leigh,United Kingdom,UK&I,,,Business Growth Fund,,Wigan,7c08a9a47e9e1cc7825f5902464da439,WN7 3XJ,better-bathrooms
25823,Tow-Knight,,11 - 50,3.5,1,3.5,venture_unknown,Late Stage Venture,,,crunchbase,New York,United States,US-East,,New York,,,New York,602b8ac3b9125e2411a873f0a5033ffe,10018,tow-knight
25824,Drinks,,51 - 100,28.25,3,15.0,venture_b,Early Stage Venture,7.0,735115.0,crunchbase,Los Angeles,United States,US-West,,Greater Los Angeles,Shea Ventures;Stable Road Capital;Kayne NewRoad Ventures Fund;Beverly Pacific,"Shmidman, Yehuda;Cuvelier, Guillaume;Brandenberg, Zac",California,5271aefcb7d32396d1ae8bc65a04169e,90210,drinks
25825,Seabury Group,,,2.75,1,2.75,venture_unknown,Late Stage Venture,,16326335.0,crunchbase,New York,United States,US-East,,New York,,,New York,ed9fbe790fc8efab60ecb3a1a45424da,10019,seabury-group
25826,The Catch Co,,11 - 50,5.807002,3,3.5070019999999995,venture_a,Early Stage Venture,4.0,2837326.0,crunchbase,Chicago,United States,US-Central,['Mystery Tackle Box'],Midwest,TechNexus Venture Collaborative;Guild Capital;Listen,"Cass, Sandy",Illinois,58446bfe2b5ba36f26d29dfff4f5d5b5,60607,mystery-tackle-box
25827,Physiq,,11 - 50,20.395298,5,8.0,venture_b,Early Stage Venture,4.0,7498970.0,crunchbase,Chicago,United States,US-Central,['VGBio'],Midwest,LionBird;Quark Venture;4490 Ventures;GF Securities,,Illinois,a361d51a2be4fbcc43072004a1d3c096,60563,physiq
25828,Cladwell,,1 - 10,2.795,5,0.0,venture_unknown,Late Stage Venture,1.0,830247.0,crunchbase,Cincinnati,United States,US-Central,,East Central,M25,,Ohio,8fdd3e60edc962d675f5d809a9a3142f,45202,cladwell
25829,Zinier,,101 - 250,120.0,4,500.0,venture_c,Late Stage Venture,7.0,1382824.0,crunchbase,San Mateo,United States,US-West,,Northern California,ICONIQ Capital;Tiger Global Management;Qualcomm Ventures;Newfund Capital;NGP Capital;Founders Fund;Accel,,California,7fd57170c1c629275390950a83b93dbb,94402,zinier
25830,Lanetix,,11 - 50,9.217712,2,9.217712,venture_b,Early Stage Venture,1.0,13902618.0,crunchbase,San Francisco,United States,US-West,,Northern California,Jackson Square Ventures,,California,4f1ea17eb06ce259e54c5e8593f61c36,94108,lanetix
25831,AlertMedia,,11 - 50,42.010012,5,25.0,venture_c,Late Stage Venture,4.0,593033.0,crunchbase,Austin,United States,US-West,,Central Texas,Silverton Partners;Next Coast Ventures;ATX Venture Partners;JMI Equity,,Texas,2aeac3c147fd340d9fe8d672eae5b4c2,78746,alert-media
25832,Exact Media,,11 - 50,0.0,1,0.0,venture_a,Early Stage Venture,2.0,,crunchbase,Toronto,Canada,Canada,,,Rho Canada Ventures;VTF Capital,,Ontario,2cfaf9d09730a9be03c4271558d91d25,M5B 1N9,exact-media
25833,Stockpile,,11 - 50,45.0,4,98.0,venture_b,Early Stage Venture,6.0,135474.0,crunchbase,Palo Alto,United States,US-West,"['Stockpile Gifts, Inc. ']",Northern California,Eight Roads Ventures;Mayfield Fund;Arbor Ventures;Fidelity;Wang Ventures;Hanna Ventures,,California,c53a0fb337a59d654e25e42673a3bbc7,94306,stockpile
25834,Harmoney,,51 - 100,167.76226599999995,5,15.699513,venture_c,Late Stage Venture,1.0,1557970.0,crunchbase,Auckland,New Zealand,Oceania,,,Kirwood Capital,,Auckland,021ac7097de290c4fe7205a937e6423f,1052,harmoney
25835,Checkr,,251 - 500,309.0,5,2260.0,venture_d,Late Stage Venture,4.0,55991.0,crunchbase,San Francisco,United States,US-West,,Northern California,IVP (Institutional Venture Partners);Accel;Coatue Management;T. Rowe Price,,California,ffe232c5fcf4e08eb43dc7dd1d5fc32c,94103,checkr
25836,Hologram,,11 - 50,11.1,6,5.0,venture_unknown,Late Stage Venture,1.0,527774.0,crunchbase,Chicago,United States,US-Central,['Konekt'],Midwest,New Stack Ventures,,Illinois,e9f2d9e64398c0d947fe5a904705189d,60654,konekt-2
25837,Health iPASS,,11 - 50,10.2,5,0.0,venture_unknown,Late Stage Venture,1.0,1419951.0,crunchbase,Oak Brook,United States,US-Central,,Midwest,Fifth Third Capital,,Illinois,dbd152706e2e14fb3ab6895cce16680a,60523,healthipass
25838,GPB Scientific,,1 - 10,6.063578,5,0.5,venture_unknown,Late Stage Venture,,22396266.0,crunchbase,Richmond,United States,US-East,,Mid-Atlantic,,,Virginia,de99782cb3ed16c7e4fb621714b522ea,23219,gpb-scientific
25839,Sense,,251 - 500,47.999999,5,10.0,venture_b,Early Stage Venture,9.0,230922.0,crunchbase,Cambridge,United States,US-East,,New England,"Landis+Gyr;Energy Impact Partners;iRobot;IDO Investments;Capricorn Investment Group;Prelude Ventures;Shell Ventures;MacKinnon, Bennett & Company;Schneider Electric",,Massachusetts,92cf5ed2333a0bc4aa877f3b3faaa594,02138,sense
